,req,res
3275,돈 아직 안 들여서 그런 건가 키키,응 키키 탈락하면 그 돈 아까워서 하게 된다
3276,키키 요즘 알바 하는 재미에 공부 뒷전이야,알바 해서 알바비 들어오면 또 그 맛이 끝내주지~
3277,맞아 키키 자격증 공부는 무슨 ㅠ 타자만 치면 10만원인데~,그런 알바 있으면 자격증 공부는 저 멀리 안녕~
3278,"그러게 키키 에라이, 물 들어 올 때 노 젓자",그치 그 때 해야지 아니면 못해 자격증 얼른 미뤄 하하
3279,난 요즘 엄마랑 둘이 살아,아 진짜? 아버지랑 동생 어디 갔어 누나 키키
3280,아빠 일 하는 곳이랑 멀어서 따로 지내 키키,아버지는 기숙사로 지내시는구나 그치? 하하
3281,엄마 가끔 혼자 있어,어머니가 은근 누나 없으면 좋아하시겠는데?!
3282,그러게 키키 혼자 고요하고 좋다 하더라,동생 곧 오면 그래도 집 시끌시끌하겠다 하하
3283,맞아... 동생 안 왔으면 좋겠는데 ㅠㅠ,에이 그래도 동생 오면 같이 배달 음식 먹고 좋잖아~!
3284,동생이랑 있으면 그냥 화가 나...,그 정도야? 나는 외동이라 잘 모르겠네 키키
3285,다들 연애할 때 데이트 자주 하는 편이야?,응! 나는 항상 여친이랑 데이트하거나 여행
3286,정말? 나는 한 2-3주에 한번씩 봐 키키,2~3주에 한 번씩 보면 볼 때마다 온 힘을 다해 놀겠다 키키
3287,맞아 키키 장거리인데 나름 재밌고 괜찮아,장거리는 또 나름 장점도 있어서 사람 나름이지 뭐 하하
3288,그러게 키키 난 자주 만나는 거 보단 가끔 보는 게 좋더라,그치 각자 할 일 집중해서 하고 쉴 때 데이트하고 이게 좋긴 해
3289,일주일 내내 만나는 건 힘들듯,맞아 키키 그러면 너무 빡셀 거 같더라
3290,오 나도 그렇게 생각해 키키,그것도 괜찮다 빈도수가 중요하긴 한 거 같아
3291,나는 햄스터도 키우고 싶더라 완전 뚠뚠해,햄스터? 키키 누나 그 짤들 많이 봤구나?
3292,맞아 키키 특히 노오란 햄스터가 인절미 같아,노란 햄스터는 그냥 햄찌야? 따로 종이 있는 건가
3293,완전 인절미 떡같아 키키 퍼져있어,아 그래? 키키 햄스터가 키우기도 쉽고 귀엽긴 해!
3294,뚱뚱한 게 그 애들 매력이야 ㅠㅠ,그래서 햄스터들을 다 뚱찌라고 부르는구나?! 하하
3295,키우면 맘 아플 것 같아,아 햄스터 수명이 짧구나 한 2~3년 정도 되려나?
3296,2-3년 되는 것 같아 오래 살면 5년!,짧긴 하네 ㅠㅠ 하늘나라 가면 마음 아프겠다
3297,겨울에 스키장 한번 가보고 싶다,오 스키장?! 키키 나도 안 간 지 너무 오래 지났네
3298,맞아 키키 다음 달이면 스키장 개장할 것 같아,아 다음 달에 벌써 개장이야? 시간 빠르네
3299,11월이야 다음 주 키키 다들 긴장하라구,오 그런 김에 우리 다 같이 스키장이나 갈까?!
3300,그러게 키키 수도권에 스키장 좋은 곳 많아,그래? 에이 그래도 스키장은 강원도지 누나
3301,강원도는 가기 힘들지 않나 키키,근데 그 셔틀버스 뭐 이런 거 있는 거 아니야?~
3302,논산 근처에 괜찮은 스키장 있어?,그러게 논산 집결해서 스키나 타러 가자~
3303,오징어 게임에 나온 거 해본 적 있어?,아직... 나는 해 본다면 달고나 하고 싶어!
3304,구슬은 나도 처음 봐 키키,구슬치기? 그건 나도 처음 보긴 해
3305,그러게 엄마 아빠들은 알 거야 키키,그렇지 않을까? 달고나 게임 해 보고 싶은데...
3306,달고나 게임 해보고 싶은데 ㅠㅠ 너무 비싸,아 비싸? 그거 키트 이런 거 사서 집에서도 가능하다던데
3307,체험 하려면 5천 원 줘야 한대 키키,와 비싸네 그러면 조금 꺼려진다 ㅠㅠ
3308,나중에 인기 사그라지면 키트 사서 해볼려고 키키,그러게 키트 하나 사서 같이 할래 누나?~
3309,난 요즘 제주도 가고 싶더라!,오! 가을이 제주도가 또 그렇게 이쁘다더라
3310,지금 가면 날씨 완전 좋대!,그래? 여친한테 한 번 가자 해 볼까~
3311,제주도는 항상 오케이지,그치? 곧 여친 생일이라 여행지 찾고 있거든!
3312,아 정말? 그러면 제주도 완전 강추 키키,좋다 키키 바로 지금 가서 말해야겠다
3313,생일에 제주도 여행은 정말 좋지~,여수 가려 했는데 급 제주도로 바꿀 가치가 있겠지?!
3314,그러게 키키 여수 보단 제주도가 더 낫지,오케이 누나랑 형 덕분에 이번 여친 생일기념 여행은 이미 클리어~
3315,확실히 수도권이 바람이 불어서 날씨가 차다,그래? 그 쪽 동네는 지금 춥나 보네 ㅠㅠ
3316,맞아 여긴 저녁에 엄청 바람 불어,얇은 옷을 여러 개 입고 다녀 특히 이런 날씨엔!
3317,그러게 키키 아님 저녁에 나가질 말아야 해,가을인데 뭔가 가을 같지가 않아 그치?
3318,너무 날씨가 극단적이네 키키 후,그니까 이제 봄 가을 없어진다는 게 느껴져...
3319,동남아 되면 난 좋지... 따듯해서,오~ 근데 은근 동남아 날씨가 여기보다 괜찮은 거 같아
3320,대신 거기 내내 여름이야 키키,그치 그래도 습한 날씨가 아니라 괜찮던데?~
3321,60대 남자가 30대 여자 강제로 추행하려 한 거 봤어?,와 진짜 그런 사람은 뇌에 뭐가 든 걸까...?
3322,술 취해서 여자 치마 속에 손 넣으려 했대 키키,대박이다 진짜 무조건 구속해야 해...
3323,아니 그냥 모르는 사람인데 엘리베이터에서 그랬대,키키 그 60대 남자는 무조건 콩밥 먹어야 해
3324,완전 노망난 거 아니냐고 키키 법이 약해서 그런가,그치 법이 약하니까 그렇지/여자 치마 속에 손 넣는 게 말이 돼? 키키
3325,피해자 옆에 있던 여자도 밀쳤대 가해자가,에휴 그냥 사회에 있으면 안 되는 사람이야~
3326,진짜 큰일날 뻔 했어... 얼른 잡혀서 망정이지,그치 안 잡혔으면 더 큰 사건 터졌다~
3327,강도 쫓다가 차문에 끼인 채 질질 끌려갔대,응...? 사람 안 죽었어?
3328,죽을뻔했대... 여자 지갑 훔쳐가서 그거 쫓아가다 그랬나 봐,그니까 지갑을 왜 훔쳐~ 안 훔쳤으면 땡인데
3329,아니 피해자가 지갑 찾으려고 쫒아가다 그랬대 ㅠㅠ,아 피해자가...? 헐 그건 좀 생각치 못했네 ㅠㅠ
3330,게다가 혼자가 아니라 반려견도 같이 수십 미터 끌려간 거 키키,그건 살짝 웃긴 반전이네 키키/같이 끌려가다니 ㅠㅠ
3331,조수석에 끼였는데 여성을 매단 채로 출발했대,근데 도망가려고 그냥 질질 끌고 간 거구나? 키키
3332,아직 신원이 안 밝혀져서 현상금 586만 원이래 키키,현상금 더 걸어서 얼른 잡아버리지~
3333,휴 피부 관리 받고 싶다,피부관리? 어떤 쪽으로 받으려고?
3334,나 요즘 트러블 많이 생겼어!,헉 그러면 관리 받아야겠는데?!
3335,울긋불긋해서 가렵기도 하다 키키,어쩔 수 없네 가려우면 피부과 한 번 가봐야겠어!
3336,그래야지 키키 너네는 피부 관리 따로 안 해?,나는 그낭 자연 그 자체가 좋아~
3337,남자들도 요즘 피부 관리 필수라구!!,그래?... 그러면 슬슬 피부과 방문을 시작 해 볼까 키키
3338,특히 여드름은 꼭 관리 해야 해,알았어 그러면 내일 가서 한 번 체험 해 봐야지~
3339,나 얼마 전에 피 봤다 흑 ㅠㅠ,헉 왜 그래! 어디 다쳤어?
3340,나 맥주병 따다가 피 봤어 키키,아이고 그거 따개 없으면 조심해야 해
3341,병따개가 없어서 종이로 따려다가 키키,그러면 안 돼 키키 그냥 놔두지...
3342,블로그에 써있길래 따라 해봤지~,아 키키 블로그도 믿지마 그냥 못 하면 냅둬야 해
3343,"그러게, 바보 같았지 키키 살점 나갔어 ㅠ",나 저번에 따라 해 봤는데 되긴 되더라고!...
3344,아 그래? 너가 진짜 잘 했네 키키,그치 키키 그것도 은근 요령이 필요해!~
3345,금융치료에 뭐가 좋을까 추천 좀 키키,음 당연히 사고 싶은 물건 플렉스지
3346,맞아 키키 뭔가 쇼핑을 하고 싶어,쇼핑하거나 여행으로 쓰면 힐링 될 거야 하하
3347,오 패딩 하나 스근하게 사볼까,좋지 키키 요즘 인터넷 쇼핑몰에서 쿠폰도 많이 주니까 딱이겠다
3348,그러게 무스너클 이런 거 따숩더라 키키,그런 건 비싼 거 아니야? 이름이 비싸 보여...
3349,맞아 키키 근데 엄청 따듯하더라구 키키,그치 비싼 옷들이 따시긴 해/키키 이참에 금융치료 한 번 하자
3350,그러게 키키 내일 월급 날이라 나 너무 신났나 봐,맞네 누나 이제 월급 날이니 드디어 사겠구나~
3351,에스파 이번 신곡도 엄청 좋아,에스파가 부른 노래 몇 개 알긴 해 키키!
3352,헐~ 다들 새비지~ 몰라? 너무 하네 ㅠ,아! 그 노래가 에스파 노래였어? 하하
3353,쯔쯔쯔쯔 그게 이번 신곡이야 키키 새비지 ㅠㅠ,그렇구나 키키 에스파 요즘 노래 잘 뽑긴 하네~
3354,응응 ㅠㅠ 이번에 윈터가 진짜 이뻐,에스파에 카리나도 있지 않아? 이쁘다고 하던데!
3355,그래? 단발 머리 딱 보면 알 거야 사슴 같아,맞아 키키 카리나는 딱 보면 느낌을 안다더라
3356,한번 나중에 검색 해봐 키키 진짜 이뻐,응 이러다가 에스파 팬 되는 거 아닌가 몰라...
3357,넷플릭스 오리지널 영화도 재밌다~,넷플릭스에서 만드는 영화 말하는 거야?~
3358,오 맞아 키키 승리호 진짜 재밌게 봤어,아 나는 그건 모르겠네/디피나 뭐지 오징어게임? 이런 거만 봤어 넷플 작품!
3359,그거 다 CG인데 퀄리티가 대박이야,헐 김태리 나와? 나 김태리 팬인데 키키
3360,송중기도 나와 키키 너 송중기도 좋아하잖아~ 빈센조~,넷플릭스 계정도 없는데...?/아이디 빌려주면 볼게~!
3361,내 꺼 써 키키 나 요즘 바빠서 못 봐 ㅠ,아 그래? 그러면 내가 빌려서 한 번 봐 볼게 하하
3362,나 지금 진심 누워서 넷플 보다 잠들고 싶어,맞아 나도 넷플 보면서 잠드는 거가 은근 좋더라!
3363,스타벅스 신메뉴 먹어봤어? 존맛이야,아 그거 아직 못 먹었어 키키 어때
3364,노노 캐모마일 릴렉서 말이야~,아 그거 뭐야 이름도 첨 들어 키키
3365,이거 크리스마스 신메뉴 키키 개꿀,맞아 메뉴판은 봤는데 키키 땡기는 건 없었어
3366,지금 가도 먹을 수 있어 키키,맞아 지금부터 이미 하고 있더라 키키
3367,응 프리퀀시 적립도 해준다 하더라,맞아 이번 프리퀀시 담요 나왔어 키키
3368,응 다이어리 받아야지 키키 가봐,키키 맞아 이번에 프리퀀시 성공하고 싶어 ㅋㄴㅋ
3369,30년 넘은 오션뷰 아파트가 얼마게,그거 몇억 나가는 거 아니야? 키키
3370,13억이래 나 충격... 태풍 오면 난리 나는데,헐 태풍 오면 날라가는데 13억 비싸다 키키
3371,그니깐 키키 곧 잠길 것 같던데 ㅠ 뷰는 끝내줌,어 거기 뷰 한번 보여줘 키키
3372,거기 광안대교 뷰야 13억은 선 넘었지만,아 그럼 비쌀만 한데 키키
3373,근데 집도 잘 팔려서 신기해 키키,키키 일단 뷰가 좋으니까 잘 팔리나 봐 키키
3374,그러게 키키 난 차라리 그 돈으로 다른 곳 갈래,응 나도 안전하고 좋은 곳 갈래 키키
3375,중고차 괜찮은 거 얼마 정도 해?,중고차 1500만원은 생각 해야 돼 ㅠㅠ
3376,아 그래? 풀옵션이라 1500인가?,글쎄 이게 차마다 금액이 너무 달라 ㅠㅠ
3377,"그러게, 나도 suv 하나 사고 싶어",아 그럼 1500만원 무조건 생각 해야 돼 ㅠㅠ
3378,나도 키키 요즘 뚜벅이가 너무 불편해,근데 차 사면 돈 너무 많이 들어 키키
3379,응 특히 여름 겨울에 힘들어,맞아 덥고 춥고 기다리는 것도 지칠 거 같아 ㅠㅠ
3380,키키 그래서 차의 필수를 알아 버렸지~,편하긴 한데 유지비 장난 아니라 싫어 키키
3381,다들 월급날 언제야 딱 대,나 말일이야 키키/이미 월급 들어 옴 하하
3382,난 내일이라서 너무 행복해 하하 헤헤,오 다들 말일이나 초에 월급 받네 키키
3383,나는 매월 1일에 주셔 키키 사장님 최고,나는 내가 말일되면 어느 누구보다 빠르게 이체 함 키키
3384,나도 보너스는 못 받아 봤어,나도 명절에만 보너스 받아 ㅠㅠ
3385,나는 보너스 받아 본 적이 없어 키키 알바라,요즘 근데 알바가 더 좋아 나 이제 알바 할 거야 키키
3386,응 맞아 대신 수당은 잘 챙겨 주셔,수당 잘 챙겨주면 됐지 하하 그게 최고야
3387,복무 기간이 점점 줄어가는 것 같아 키키,맞아 이러다가 1년만 다녀도 될 듯 키키
3388,그러게 키키 거의 병영 캠프 아닌가 몰라,맞아 병영캠프도 방독면 쓰고 하는 거 그거 한다고 하더라 키키
3389,돈 주고 거기 안 가지 ㅠㅠ,맞아 돈 주고 화생방 누가 신청해 키키
3390,아냐... 나는 뒤에서 조용히 군인들 응원해,아니 나도 군인들 뒤에서 응원할게 키키
3391,군대 가면 철드는 거 옛날 말 아닌가?,맞아 군대는 무조건 갔다 와야 해 키키
3392,그러게 키키 사회물이 이래서 무서운 건가,근데 군대 가서 철 들어서 온 거잖아 키키
3393,회사에서 따로 대학 안 보내줘?,우리 회사는 그런 거 없는 거 같던데 키키
3394,응 연계 대학 해서 보내 주더라,와 대박 우리 회사는 그렇게 좋은 회사가 아니야 키키
3395,그 야간대로 많이 가더라 ㅠㅠ 회사 끝나고 공부,근데 일하면서 학교를 어떻게 다녀 ㅠㅠ
3396,"일 끝나고 남은 시간에 학교 가더라고, 아님 주말에",와 대박 주말까지 못 쉬는 건 싫을 거 같아 키키
3397,근데 내 친구 보니깐 명문대 갔길래 부럽,와 일 다니면서 명문대 들어간 거야?
3398,학비는 알아서 내야지 뭐 ㅠㅠ,아 학비 회사에서 지원 해주는 건 아닌가 보네 키키
3399,명절에 가족들 다 모여서 제사 지내?,응 우리 집 제사 많이 지내 ㅠㅠ
3400,헐 아직도 제사 지내는 집 많구나,응 우리 집 아직도 차례 제사 다 지내지 ㅠㅠ
3401,그러게 키키 일 년에 몇 번이나 지내는지 몰라,그러니까 제사 한번 가면 너무 피곤해 키키
3402,우리는 4번 정도 지내는 것 같아,우리는 6번 정도 되는 거 같던데 키키
3403,나는 안 간지 오래라 ㅠㅠ 일 하고 있어서,일 다니면 안 가서 좋긴 좋던데 키키
3404,오 효자~ 대박 키키 나는 제사 안 간지 오래,오 오빠 은근 효자다 키키
3405,애인 생일 때 뭐하고 놀아?,나는 그냥 넷플 같이 보고 그래 키키
3406,나는 제주도 여행 갈듯,아 맞아 너 제주도 여행 간다 했지 키키/부럽다 우리 다 귀찮은 거 심해서
3407,아 정말? 여행 가서 왜 싸우는 것이야 키키,나도 여행만 가면 싸워 키키
3408,아 그래? 난 여행 자주 다녀서 그런지 싸우진 않아,맞아 여행 잘 다니는 커플은 잘 안 싸우더라 키키
3409,나는 가끔 말다툼 심하게 해서 하하,이래서 말 이쁘게 하는 사람 만나고 싶어 ㅠㅠ
3410,키키 레슬링이라니 오빠가 한번 져줘,맞아 한번 씩 좀 져 줘 키키
3411,강아지 비숑 완전 귀엽다 ㅠㅠ,어 맞아 비숑 너무 귀여워 ㅠㅠ
